 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
5/9/2008,"2,432.55","2,429.03","2,455.33","2,445.52","2,445.52"
5/8/2008,"2,450.01","2,436.61","2,462.51","2,451.24","2,451.24"
5/7/2008,"2,483.03","2,435.76","2,496.65","2,438.49","2,438.49"
5/6/2008,"2,455.11","2,445.37","2,488.83","2,483.31","2,483.31"
5/5/2008,"2,475.31","2,458.12","2,486.05","2,464.12","2,464.12"
5/2/2008,"2,499.14","2,461.46","2,499.14","2,476.99","2,476.99"
5/1/2008,"2,416.49","2,416.49","2,480.71","2,480.71","2,480.71"
4/30/2008,"2,434.20","2,406.37","2,451.19","2,412.80","2,412.80"
4/29/2008,"2,420.00","2,412.10","2,435.38","2,426.10","2,426.10"
4/28/2008,"2,422.63","2,416.90","2,437.00","2,424.40","2,424.40"
4/25/2008,"2,424.68","2,391.15","2,427.09","2,422.93","2,422.93"
4/24/2008,"2,408.25","2,383.76","2,447.28","2,428.92","2,428.92"
4/23/2008,"2,391.64","2,382.77","2,412.53","2,405.21","2,405.21"
4/22/2008,"2,397.12","2,361.67","2,397.17","2,376.94","2,376.94"
4/21/2008,"2,393.07","2,389.82","2,410.97","2,408.04","2,408.04"
4/18/2008,"2,394.52","2,383.24","2,412.78","2,402.97","2,402.97"
4/17/2008,"2,347.32","2,327.66","2,348.31","2,341.83","2,341.83"
4/16/2008,"2,313.42","2,313.42","2,352.21","2,350.11","2,350.11"
4/15/2008,"2,287.43","2,266.29","2,291.12","2,286.04","2,286.04"
4/14/2008,"2,287.02","2,274.91","2,296.73","2,275.82","2,275.82"
4/11/2008,"2,327.70","2,286.19","2,328.45","2,290.24","2,290.24"
4/10/2008,"2,326.78","2,324.39","2,363.91","2,351.70","2,351.70"
4/9/2008,"2,351.94","2,311.45","2,353.54","2,322.12","2,322.12"
4/8/2008,"2,353.58","2,337.84","2,359.40","2,348.76","2,348.76"
4/7/2008,"2,386.62","2,359.54","2,390.04","2,364.83","2,364.83"
4/4/2008,"2,366.91","2,351.76","2,391.93","2,370.98","2,370.98"
4/3/2008,"2,347.91","2,339.38","2,373.99","2,363.30","2,363.30"
4/2/2008,"2,363.42","2,347.78","2,381.21","2,361.40","2,361.40"
4/1/2008,"2,306.51","2,305.40","2,362.75","2,362.75","2,362.75"
3/31/2008,"2,265.15","2,260.59","2,289.70","2,279.10","2,279.10"
3/28/2008,"2,291.32","2,256.87","2,304.71","2,261.18","2,261.18"
3/27/2008,"2,315.04","2,280.47","2,315.91","2,280.83","2,280.83"
3/26/2008,"2,328.62","2,306.49","2,331.18","2,324.36","2,324.36"
3/25/2008,"2,329.16","2,312.06","2,346.78","2,341.05","2,341.05"
3/24/2008,"2,268.20","2,268.20","2,336.70","2,326.75","2,326.75"
3/20/2008,"2,220.50","2,208.12","2,258.11","2,258.11","2,258.11"
3/19/2008,"2,272.12","2,209.96","2,280.90","2,209.96","2,209.96"
3/18/2008,"2,215.61","2,206.81","2,268.26","2,268.26","2,268.26"
3/17/2008,"2,166.94","2,155.42","2,200.53","2,177.01","2,177.01"
3/14/2008,"2,271.21","2,191.75","2,277.11","2,212.49","2,212.49"
3/13/2008,"2,219.28","2,199.38","2,272.55","2,263.61","2,263.61"
3/12/2008,"2,259.97","2,241.38","2,282.61","2,243.87","2,243.87"
3/11/2008,"2,209.65","2,192.50","2,255.76","2,255.76","2,255.76"
3/10/2008,"2,211.14","2,168.67","2,216.89","2,169.34","2,169.34"
3/7/2008,"2,204.48","2,186.93","2,242.50","2,212.49","2,212.49"
3/6/2008,"2,265.67","2,219.33","2,272.20","2,220.50","2,220.50"
3/5/2008,"2,266.49","2,254.20","2,290.01","2,272.81","2,272.81"
3/4/2008,"2,244.21","2,221.09","2,266.37","2,260.28","2,260.28"
