date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,nasdaq,cac_40,gold_usd,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_core_cpi,Year
2015-08-31,1.1145238095238097,1.5579190476190474,123.05428571428577,0.9685380952380952,96.387619047619,42.889047619047616,4934.622380952381,4887.1328571428585,1119.4271428571428,0.25,-0.0261904761904762,5.1,10.7,2.4,3.0,1.8,2015
2015-09-30,1.1236909090909093,1.5333136363636362,120.08909090909091,0.9721545454545456,95.81454545454544,45.48681818181818,4750.91,4526.629545454546,1125.314090909091,0.25,-0.038181818181818185,5.0,10.6,2.3,3.2,1.9,2015
2015-10-31,1.1220045454545455,1.5333409090909094,120.16045454545456,0.9696636363636364,95.71863636363636,46.28954545454546,4879.0363636363645,4715.629545454544,1157.823181818182,0.25,-0.05454545454545457,5.0,10.6,1.8,2.5,1.9,2015
2015-11-30,1.0729333333333333,1.5193714285714288,122.63,1.0098857142857145,99.07,42.86523809523809,5084.651428571428,4910.279523809524,1085.0052380952382,0.25,-0.09619047619047624,5.0,10.5,1.9,1.9,2.0,2015
2015-12-31,1.0898652173913044,1.4980130434782608,121.5791304347826,0.993613043478261,98.31304347826088,37.30478260869565,5040.558260869566,4663.587391304347,1068.4765217391302,0.5,-0.12260869565217387,5.0,10.4,2.9,2.4,2.1,2015
2016-01-31,1.0866095238095241,1.4404238095238096,118.30095238095235,1.0067714285714289,98.79380952380951,31.94571428571428,4618.26761904762,4348.779523809524,1097.0847619047622,0.5,-0.15047619047619046,4.9,10.4,2.8,1.5,2.2,2016
2016-02-29,1.1104238095238097,1.4312952380952384,114.66761904761904,0.9917714285714286,97.04095238095242,30.58142857142857,4457.219999999998,4184.786190476189,1201.1604761904762,0.5,-0.2023809523809524,4.9,10.3,3.9,2.3,2.3,2016
2016-03-31,1.1141913043478262,1.425313043478261,112.94478260869565,0.9809521739130432,96.26565217391304,38.02304347826088,4755.306086956521,4418.960434782607,1243.928260869565,0.5,-0.2430434782608696,5.0,10.2,2.1,1.9,2.2,2016
2016-04-30,1.1339523809523808,1.431409523809524,109.57714285714285,0.9641714285714288,94.40333333333332,41.1247619047619,4892.168095238095,4445.223333333333,1242.1833333333334,0.5,-0.2638095238095237,5.0,10.2,2.6,1.1,2.1,2016
2016-05-31,1.1298409090909092,1.45245,108.99363636363636,0.9791818181818184,94.56772727272724,46.90136363636364,4794.8386363636355,4373.493636363636,1256.3663636363638,0.5,-0.2786363636363638,4.7,10.2,2.1,1.1,2.2,2016
2016-06-30,1.1241681818181821,1.4210636363636364,105.45409090909092,0.9691863636363636,94.6631818181818,48.85318181818183,4856.231818181818,4293.921363636364,1276.220454545455,0.5,-0.28318181818181826,4.9,10.1,2.8,1.1,2.2,2016
2016-07-31,1.1064190476190476,1.3147571428571427,104.09428571428572,0.9819666666666664,96.52857142857144,44.98238095238095,5016.30238095238,4317.636666666667,1339.8580952380948,0.5,-0.3014285714285713,4.9,10.0,2.1,1.3,2.2,2016
