date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,snp_500,dow_jones,nasdaq,euro_n100,cac_40,dax,gold_usd,brent_crude,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_indus,eu_indus,us_core_cpi,eu_core_cpi,us_cpi,eu_cpi
2009-09-30,1.456381818181818,1.6312727272727268,91.39272727272726,1.0399636363636364,77.05863636363637,69.54227272727272,1043.6813636363636,9626.166363636365,2082.6118181818183,646.4036363636363,3732.74,5583.973181818183,997.9245454545454,68.14681818181818,0.25,0.7304545454545454,9.8,10.0,-7.7,-3.4,-6.9,-12.7,1.5,1.2,-1.3,-0.3
2009-10-31,1.4818454545454545,1.6199500000000007,90.315,1.0216454545454545,76.01045454545455,75.82363636363635,1067.6636363636362,9857.343636363636,2122.8495454545455,660.0999999999999,3780.0009090909093,5680.036818181819,1044.994090909091,73.93363636363637,0.25,0.6899999999999998,10.0,10.0,-3.2,-1.8,-7.5,-11.0,1.7,1.2,-0.2,-0.1
2009-11-30,1.4927666666666666,1.661152380952381,89.11238095238095,1.0116190476190476,75.30809523809523,78.04523809523809,1088.231904761905,10238.832857142857,2143.29,653.6923809523809,3752.7309523809517,5642.16,1131.8904761904762,77.58285714285716,0.25,0.6752380952380952,9.9,10.1,1.5,-3.0,-5.9,-7.1,1.7,1.0,1.8,0.5
2009-12-31,1.4568956521739131,1.6219956521739127,90.04652173913044,1.0306391304347826,76.82739130434781,74.78434782608696,1111.1343478260867,10437.210869565219,2223.664347826087,670.4917391304348,3855.994347826086,5860.223913043479,1126.7126086956523,75.17304347826087,0.25,0.6739130434782608,9.9,10.1,4.2,-0.9,-2.8,-3.8,1.8,1.1,2.7,0.9
2010-01-31,1.4271619047619046,1.6159333333333332,91.21904761904764,1.0340666666666667,77.80666666666669,78.58,1125.298571428571,10475.769999999999,2272.2161904761906,684.6428571428571,3929.455714285714,5872.034285714285,1117.1561904761907,77.03142857142856,0.25,0.6295238095238093,9.8,10.2,2.7,-0.4,0.7,2.3,1.6,0.8,2.6,1.0
2010-02-28,1.36816,1.56234,90.16100000000002,1.07186,80.1645,76.4805,1089.4454999999998,10208.738000000001,2195.4275000000002,649.2549999999999,3687.0965000000006,5586.022000000001,1097.9789999999998,74.78999999999999,0.25,0.6034999999999997,9.8,10.2,3.3,-0.5,1.7,4.0,1.3,0.7,2.1,0.9
2010-03-31,1.357404347826087,1.5060391304347827,90.71739130434783,1.066021739130435,80.6708695652174,81.29,1152.0486956521738,10677.518695652176,2362.243913043478,688.1778260869567,3922.1513043478253,5965.046956521738,1114.5804347826086,79.93130434782609,0.25,0.5891304347826086,9.9,10.2,7.5,1.3,4.0,7.7,1.1,1.1,2.3,1.4
2010-04-30,1.3427954545454541,1.5337181818181818,93.49045454545457,1.0682272727272728,81.23545454545454,84.66818181818184,1196.8672727272724,11046.462272727273,2473.620454545455,704.0190909090908,3980.992272727273,6217.134545454545,1149.701818181818,85.62545454545456,0.25,0.5836363636363635,9.9,10.3,7.8,-0.6,5.3,9.0,0.9,0.9,2.2,1.5
2010-05-31,1.2534857142857143,1.4656380952380952,91.88095238095238,1.1326238095238095,85.41904761904763,74.0442857142857,1122.4752380952382,10482.879047619048,2314.6242857142856,642.4957142857141,3561.727619047619,5966.352857142858,1206.5747619047618,76.99761904761905,0.25,0.6290476190476193,9.6,10.3,5.9,0.8,7.9,8.4,0.9,0.9,2.0,1.6
2010-06-30,1.221177272727273,1.4757863636363633,90.80681818181817,1.1263500000000002,86.57545454545455,75.40454545454544,1083.3609090909092,10159.267272727271,2235.229545454546,645.1304545454545,3557.954090909091,6080.79590909091,1233.9827272727273,75.65863636363635,0.25,0.66,9.4,10.3,4.2,1.0,8.5,8.5,0.9,1.0,1.1,1.4
