 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
2/11/2015,"2,068.55","2,057.99","2,073.48","2,068.53","2,068.53"
2/10/2015,"2,049.38","2,048.62","2,070.86","2,068.59","2,068.59"
2/9/2015,"2,053.47","2,041.88","2,056.16","2,046.74","2,046.74"
2/6/2015,"2,062.28","2,049.97","2,072.40","2,055.47","2,055.47"
2/5/2015,"2,043.45","2,043.45","2,063.55","2,062.52","2,062.52"
2/4/2015,"2,048.86","2,036.72","2,054.74","2,041.51","2,041.51"
2/3/2015,"2,022.71","2,022.71","2,050.30","2,050.03","2,050.03"
2/2/2015,"1,996.67","1,980.90","2,021.66","2,020.85","2,020.85"
1/30/2015,"2,019.35","1,993.38","2,023.32","1,994.99","1,994.99"
1/29/2015,"2,002.45","1,989.18","2,024.64","2,021.25","2,021.25"
1/28/2015,"2,032.34","2,001.49","2,042.49","2,002.16","2,002.16"
1/27/2015,"2,047.86","2,019.91","2,047.86","2,029.55","2,029.55"
1/26/2015,"2,050.42","2,040.97","2,057.62","2,057.09","2,057.09"
1/23/2015,"2,062.98","2,050.54","2,062.98","2,051.82","2,051.82"
1/22/2015,"2,034.30","2,026.38","2,064.62","2,063.15","2,063.15"
1/21/2015,"2,020.19","2,012.04","2,038.29","2,032.12","2,032.12"
1/20/2015,"2,020.76","2,004.49","2,028.94","2,022.55","2,022.55"
1/16/2015,"1,992.25","1,988.12","2,020.46","2,019.42","2,019.42"
1/15/2015,"2,013.75","1,991.47","2,021.35","1,992.67","1,992.67"
1/14/2015,"2,018.40","1,988.44","2,018.40","2,011.27","2,011.27"
1/13/2015,"2,031.58","2,008.25","2,056.93","2,023.03","2,023.03"
1/12/2015,"2,046.13","2,022.58","2,049.30","2,028.26","2,028.26"
1/9/2015,"2,063.45","2,038.33","2,064.43","2,044.81","2,044.81"
1/8/2015,"2,030.61","2,030.61","2,064.08","2,062.14","2,062.14"
1/7/2015,"2,005.55","2,005.55","2,029.61","2,025.90","2,025.90"
1/6/2015,"2,022.15","1,992.44","2,030.25","2,002.61","2,002.61"
1/5/2015,"2,054.44","2,017.34","2,054.44","2,020.58","2,020.58"
1/2/2015,"2,058.90","2,046.04","2,072.36","2,058.20","2,058.20"
12/31/2014,"2,082.11","2,057.94","2,085.58","2,058.90","2,058.90"
12/30/2014,"2,088.49","2,079.53","2,088.49","2,080.35","2,080.35"
12/29/2014,"2,087.63","2,085.75","2,093.55","2,090.57","2,090.57"
12/26/2014,"2,084.30","2,084.30","2,092.70","2,088.77","2,088.77"
12/24/2014,"2,083.25","2,081.86","2,087.56","2,081.88","2,081.88"
12/23/2014,"2,081.48","2,079.77","2,086.73","2,082.17","2,082.17"
12/22/2014,"2,069.28","2,069.28","2,078.76","2,078.54","2,078.54"
12/19/2014,"2,061.04","2,061.03","2,077.85","2,070.65","2,070.65"
12/18/2014,"2,018.98","2,018.98","2,061.23","2,061.23","2,061.23"
12/17/2014,"1,973.77","1,973.77","2,016.75","2,012.89","2,012.89"
12/16/2014,"1,986.71","1,972.56","2,016.89","1,972.74","1,972.74"
12/15/2014,"2,005.03","1,982.26","2,018.69","1,989.63","1,989.63"
12/12/2014,"2,030.36","2,002.33","2,032.25","2,002.33","2,002.33"
12/11/2014,"2,027.92","2,027.92","2,055.53","2,035.33","2,035.33"
12/10/2014,"2,058.86","2,024.26","2,058.86","2,026.14","2,026.14"
12/9/2014,"2,056.55","2,034.17","2,060.60","2,059.82","2,059.82"
12/8/2014,"2,074.84","2,054.27","2,075.78","2,060.31","2,060.31"
12/5/2014,"2,072.78","2,070.81","2,079.47","2,075.37","2,075.37"
12/4/2014,"2,073.64","2,062.34","2,077.34","2,071.92","2,071.92"
12/3/2014,"2,067.45","2,066.65","2,076.28","2,074.33","2,074.33"
12/2/2014,"2,053.77","2,053.77","2,068.77","2,066.55","2,066.55"
12/1/2014,"2,065.78","2,049.57","2,065.78","2,053.44","2,053.44"
11/28/2014,"2,074.78","2,065.06","2,075.76","2,067.56","2,067.56"
11/26/2014,"2,067.36","2,066.62","2,073.29","2,072.83","2,072.83"
11/25/2014,"2,070.15","2,064.75","2,074.21","2,067.03","2,067.03"
11/24/2014,"2,065.07","2,065.07","2,070.17","2,069.41","2,069.41"
11/21/2014,"2,057.46","2,056.75","2,071.46","2,063.50","2,063.50"
11/20/2014,"2,045.87","2,040.49","2,053.84","2,052.75","2,052.75"
11/19/2014,"2,051.16","2,040.37","2,052.14","2,048.72","2,048.72"
11/18/2014,"2,041.48","2,041.48","2,056.08","2,051.80","2,051.80"
11/17/2014,"2,038.29","2,034.46","2,043.07","2,041.32","2,041.32"
11/14/2014,"2,039.74","2,035.20","2,042.22","2,039.82","2,039.82"
11/13/2014,"2,039.21","2,030.44","2,046.18","2,039.33","2,039.33"
11/12/2014,"2,037.75","2,031.95","2,040.33","2,038.25","2,038.25"
11/11/2014,"2,038.20","2,035.28","2,041.28","2,039.68","2,039.68"
11/10/2014,"2,032.01","2,030.17","2,038.70","2,038.26","2,038.26"
11/7/2014,"2,032.36","2,025.07","2,034.26","2,031.92","2,031.92"
11/6/2014,"2,023.33","2,015.86","2,031.61","2,031.21","2,031.21"
11/5/2014,"2,015.29","2,014.42","2,023.77","2,023.57","2,023.57"
