 Date,INDU_EC Open,INDU_EC Low,INDU_EC High,INDU_EC Close,INDU_EC Adj. Close
10/25/2006,"12,127.24","12,081.77","12,147.97","12,134.68","12,134.68"
10/24/2006,"12,116.51","12,079.05","12,133.80","12,127.88","12,127.88"
10/23/2006,"12,001.33","11,971.79","12,125.16","12,116.91","12,116.91"
10/20/2006,"12,013.01","11,941.94","12,048.87","12,002.37","12,002.37"
10/19/2006,"11,988.92","11,966.91","12,027.74","12,011.73","12,011.73"
10/18/2006,"11,947.62","11,947.62","12,049.51","11,992.68","11,992.68"
10/17/2006,"11,977.40","11,887.19","11,979.08","11,950.02","11,950.02"
10/16/2006,"11,961.31","11,945.54","11,997.25","11,980.60","11,980.60"
10/13/2006,"11,947.22","11,908.80","11,960.51","11,960.51","11,960.51"
10/12/2006,"11,854.13","11,854.05","11,959.63","11,947.70","11,947.70"
10/11/2006,"11,865.49","11,794.17","11,875.98","11,852.13","11,852.13"
10/10/2006,"11,857.73","11,829.71","11,877.90","11,867.17","11,867.17"
10/9/2006,"11,849.56","11,813.22","11,872.94","11,857.81","11,857.81"
10/6/2006,"11,865.49","11,800.50","11,865.57","11,850.21","11,850.21"
10/5/2006,"11,844.38","11,821.23","11,870.06","11,866.69","11,866.69"
10/4/2006,"11,722.94","11,707.49","11,851.25","11,850.61","11,850.61"
10/3/2006,"11,670.11","11,653.06","11,758.95","11,727.34","11,727.34"
10/2/2006,"11,678.99","11,658.66","11,726.94","11,670.35","11,670.35"
9/29/2006,"11,718.05","11,677.79","11,741.99","11,679.07","11,679.07"
9/28/2006,"11,689.40","11,660.42","11,728.46","11,718.45","11,718.45"
9/27/2006,"11,670.19","11,659.62","11,720.77","11,689.24","11,689.24"
9/26/2006,"11,575.73","11,567.65","11,670.27","11,669.39","11,669.39"
9/25/2006,"11,509.30","11,486.00","11,616.48","11,575.81","11,575.81"
9/22/2006,"11,532.91","11,474.56","11,533.07","11,508.10","11,508.10"
9/21/2006,"11,611.67","11,501.77","11,630.56","11,533.23","11,533.23"
9/20/2006,"11,542.28","11,542.20","11,628.88","11,613.19","11,613.19"
9/19/2006,"11,554.60","11,480.56","11,562.05","11,540.91","11,540.91"
